subjects	S	distractor	R	rt
1	word	absent	word	0.295167762539252
1	nonword	absent	nonword	0.357020023091838
1	nonword	absent	nonword	0.280215494161574
1	nonword	present	word	0.273433089693562
1	word	present	word	0.255865431138474
1	word	present	word	0.363492136425363
1	word	present	word	0.410595536462466
1	nonword	present	nonword	0.436251982192219
1	word	absent	nonword	0.803980871795252
1	word	absent	word	0.416441513982531
1	word	absent	word	0.270485050901075
1	nonword	absent	nonword	0.350263233324581
1	word	absent	word	0.1997714606823
1	nonword	absent	nonword	0.334257331772562
1	word	present	word	0.340540556664163
1	word	absent	word	0.288290357887472
1	word	present	word	0.250384636316198
1	word	absent	word	0.554052711368764
1	nonword	absent	nonword	0.226116081262736
1	word	absent	word	0.278099864269948
1	nonword	present	nonword	0.370047060421814
1	nonword	absent	word	0.227559740311627
1	word	present	word	0.370224818939845
1	word	present	word	0.204916992551711
1	word	present	word	0.35778361226891
1	nonword	present	nonword	0.363771092287703
1	word	present	word	0.484430437037903
1	nonword	absent	nonword	0.376477891418373
1	word	absent	word	0.272255234479514
1	word	absent	word	0.230384618604777
1	nonword	present	nonword	0.465066573263707
1	nonword	present	nonword	0.287265804569153
1	word	absent	word	0.309841897012895
1	nonword	absent	nonword	0.327051748630451
1	word	present	word	0.245207080460944
1	word	present	word	0.222514102560346
1	nonword	present	nonword	0.907007942856135
1	nonword	absent	nonword	0.324943275554493
1	nonword	absent	nonword	0.31116747756422
1	word	present	word	0.28730645193852
1	word	present	word	0.586122897527799
1	nonword	absent	nonword	0.414549595623089
1	word	absent	word	0.389018191001033
1	nonword	present	nonword	0.325496835899139
1	word	absent	word	0.211268061670379
1	nonword	present	nonword	0.288908138260314
1	nonword	present	nonword	0.605644511601427
1	word	present	word	0.417434668102871
1	word	present	word	0.312115683300159
1	word	absent	word	0.272475301262946
1	word	present	word	0.266562357507015
1	word	absent	word	0.23704259213346
1	word	present	word	0.285655595711299
1	nonword	present	nonword	0.317865097370901
1	nonword	absent	nonword	0.413329540296204
1	word	absent	word	0.384935682291498
1	nonword	present	word	0.463182283016112
1	nonword	absent	nonword	0.481211467133449
1	word	present	word	0.221727712985099
1	word	absent	word	0.569517762741515
1	word	absent	word	0.181457432918179
1	word	present	word	0.209240396151438
1	nonword	absent	nonword	0.270240247525192
1	nonword	absent	nonword	0.267813671689245
1	nonword	absent	nonword	0.189925772233512
1	word	present	word	0.29537827425383
1	word	present	word	0.286459403844102
1	nonword	present	word	0.226345649379106
1	nonword	absent	nonword	0.307420235310753
1	word	absent	word	0.241986446815794
1	word	absent	word	0.350837451036319
1	word	present	word	0.338275529820483
1	nonword	present	nonword	0.359849441015954
1	word	absent	word	0.25173846419863
1	nonword	absent	nonword	0.230474594458533
1	nonword	present	nonword	0.67908735860284
1	word	absent	word	0.392368350587857
1	nonword	present	nonword	0.369224027283462
1	word	absent	word	0.363633256730517
1	word	present	word	0.799635559452296
1	nonword	absent	nonword	0.347812206610436
1	nonword	absent	nonword	0.378282535670554
1	nonword	present	nonword	0.263398881923776
1	word	present	word	0.3281837535568
1	word	present	word	0.232723331439153
1	word	absent	word	0.249663085380128
1	word	absent	word	0.249008446394702
1	nonword	absent	nonword	0.35780745681119
1	word	present	word	0.263258061834129
1	word	absent	word	0.240869421876416
1	word	absent	word	0.373711922551911
1	nonword	present	nonword	0.281222615992245
1	nonword	absent	nonword	0.543951404395969
1	nonword	absent	nonword	0.263317901109575
1	word	absent	word	0.212707401379062
1	word	present	word	0.348519691245853
1	word	absent	word	0.244486207562395
1	word	present	word	0.320622785111864
1	nonword	present	nonword	0.441494181414997
1	word	absent	word	0.272949618835735
1	word	absent	word	0.696224538868836
1	nonword	absent	nonword	0.281130089155093
1	nonword	absent	nonword	0.25860291903413
1	word	present	word	0.194373524219283
1	nonword	present	nonword	0.358690702946028
1	nonword	absent	nonword	0.450181939285871
1	word	absent	word	0.710180192825548
1	nonword	present	nonword	0.340842323253757
1	word	present	word	0.504870189187687
1	word	absent	word	0.271085531089726
1	word	present	word	0.484692393159553
1	nonword	present	nonword	0.210504286841923
1	nonword	absent	word	0.258131989698804
1	nonword	present	nonword	0.259594754505601
1	nonword	absent	nonword	0.274076647955741
1	word	absent	word	0.241853061830407
1	word	present	word	0.405635890944987
1	word	present	word	0.62162714911983
1	nonword	absent	nonword	0.282557436337008
1	word	present	word	0.273616489680855
1	nonword	absent	nonword	0.318456093577356
1	nonword	present	nonword	0.897129563695489
1	nonword	present	nonword	0.354679796320028
1	word	present	word	0.301772581192215
1	nonword	absent	nonword	0.231234130109046
1	word	present	word	0.485925628656376
1	nonword	absent	nonword	0.382969022109674
1	word	absent	word	0.495220076307118
1	nonword	present	nonword	0.258723844881869
1	word	absent	nonword	0.394261038892651
1	nonword	present	nonword	0.480029565658715
1	word	absent	word	0.37602477239005
1	word	absent	word	0.183744390038161
1	word	absent	word	0.314183686879916
1	word	present	word	0.237598069183621
1	word	present	word	0.49178649737879
1	word	present	word	0.584364915678315
1	nonword	absent	nonword	0.313582008149764
1	nonword	absent	nonword	0.419774487353569
1	nonword	present	word	0.223938403242629
1	word	absent	word	0.186497124566751
1	nonword	present	nonword	0.554302998649193
1	word	absent	word	0.252800273356957
1	word	absent	word	0.273320743332348
1	nonword	present	nonword	0.955596135830852
1	word	absent	word	0.262075731545002
1	word	present	word	0.377991636777668
1	nonword	absent	nonword	0.256422290356046
1	word	absent	word	0.76208527413913
1	word	present	word	0.269317663043681
1	nonword	present	nonword	0.305451888918472
1	nonword	present	nonword	0.430907247801537
1	word	present	word	0.419128916082755
1	word	present	word	0.36057917919713
1	word	present	word	0.183767956931774
1	word	absent	word	0.293963022859828
1	nonword	absent	nonword	0.386970386661002
1	word	present	word	0.206243434928082
1	word	present	word	0.525946562848942
1	word	present	word	0.249135933976436
1	nonword	absent	nonword	0.257966790651039
1	word	present	word	0.251135639827307
1	nonword	absent	nonword	0.327868884040008
1	word	absent	word	0.264627739862108
1	word	present	word	0.350589668268134
1	nonword	present	nonword	0.297934723477233
1	nonword	present	nonword	0.46369196755981
1	word	absent	word	0.213585030320506
1	nonword	present	nonword	0.276900706413749
1	nonword	present	nonword	0.349339506996785
1	nonword	absent	nonword	0.350744464725296
1	nonword	present	nonword	0.310422734957614
1	word	absent	word	0.483431676344125
1	nonword	absent	nonword	0.263998386889821
1	nonword	absent	nonword	0.283740059952816
1	nonword	present	nonword	0.420368517844627
1	nonword	present	nonword	0.66770220001017
1	nonword	absent	nonword	0.66357945611509
1	word	absent	word	0.255904632527517
1	nonword	absent	nonword	0.431821706509588
1	nonword	absent	nonword	0.263332857680804
1	nonword	absent	nonword	0.309518533619027
1	word	absent	word	0.244328417943564
1	nonword	absent	nonword	0.379050243132084
1	word	present	word	0.202453814713865
1	word	absent	word	0.724718296692499
1	nonword	present	nonword	0.340662026096004
1	nonword	absent	word	0.292714478375187
1	word	present	word	0.349333529828177
1	word	present	word	0.487932494033711
1	word	absent	word	0.217263044470409
1	word	absent	word	0.284368859356172
1	word	absent	word	0.317830341840851
1	word	present	word	0.247042971522656
1	word	absent	word	0.441469546719932
1	word	present	word	0.881533690419604
1	nonword	present	nonword	0.213686825503694
1	nonword	absent	nonword	0.229462011814382
1	word	absent	word	0.292158098095727
1	nonword	present	nonword	0.370771464961642
1	word	present	word	0.271666097602568
1	nonword	present	nonword	0.390122165592873
1	nonword	present	nonword	0.574174250699085
1	nonword	present	nonword	0.26315272950999
1	nonword	present	nonword	0.525732194742322
1	nonword	absent	nonword	0.208919974127244
1	word	present	word	0.242179192307768
1	nonword	present	nonword	0.263032371886658
1	word	absent	word	0.211105397402217
1	word	absent	word	0.232659593287997
1	nonword	absent	nonword	0.584659397297828
1	nonword	absent	nonword	0.259482296947059
1	nonword	absent	nonword	0.729617409034664
1	nonword	absent	nonword	0.267499527681465
1	word	present	word	0.273587824859169
1	nonword	absent	nonword	0.264734811906696
1	word	absent	word	0.243197970747437
1	nonword	absent	nonword	0.295372462766706
1	word	absent	word	0.413566580368518
1	word	absent	word	0.266109323890925
1	word	absent	word	0.297814842645
1	word	present	word	0.545949495394422
1	nonword	present	word	0.40703523735873
1	nonword	present	nonword	0.304578734363758
1	word	present	word	0.333394806989648
1	word	present	word	0.224540596079695
1	nonword	absent	nonword	0.273122321026194
1	word	absent	word	0.38381228388893
1	word	absent	word	0.24478213436084
1	nonword	absent	nonword	0.362773889419288
1	nonword	absent	word	0.239508896062996
1	word	absent	word	0.278320791552754
1	nonword	present	nonword	0.615088140090964
1	nonword	present	nonword	0.533745671616564
1	nonword	present	word	0.288913571028467
1	nonword	present	nonword	0.243837188260281
1	word	absent	word	0.301490300455098
1	nonword	present	nonword	0.209436991000518
1	nonword	present	nonword	0.30853257288228
1	word	present	word	0.298942983013039
1	nonword	absent	nonword	0.3682249660027
1	nonword	absent	word	0.190129564045769
1	nonword	absent	nonword	0.457335724311849
1	word	present	word	0.412375533447181
1	nonword	absent	nonword	0.211147511332854
1	word	present	word	0.205876210964323
1	nonword	absent	nonword	0.391707555412737
1	word	present	word	0.255029234831845
1	nonword	absent	word	0.301252687027112
1	word	absent	word	0.279909547216891
1	word	absent	word	0.287294389516544
1	word	absent	word	0.25152361485234
1	nonword	present	word	0.254335686063987
1	nonword	present	nonword	0.275604799006002
1	word	present	word	0.363565772301538
1	nonword	absent	nonword	0.678503434419142
1	nonword	absent	nonword	0.3684366448328
1	nonword	present	nonword	0.24172700391274
1	nonword	present	nonword	0.651202565438321
1	word	absent	word	0.193140509140203
1	nonword	absent	word	0.268460668038911
1	word	absent	word	0.329610483380114
1	word	present	word	0.266970990792495
1	word	present	word	0.217099793118107
1	nonword	present	nonword	0.241407302076508
1	nonword	present	nonword	0.628392048756576
1	word	present	word	0.196501919583634
1	word	present	word	0.293393599784249
1	word	present	word	0.19612144965644
1	word	absent	word	0.292736549741794
1	word	present	word	0.2413166224235
1	nonword	absent	nonword	0.378449164207933
1	word	present	word	0.259209258287489
1	word	present	word	0.420342814376889
1	nonword	absent	nonword	0.225845149965833
1	nonword	present	nonword	0.317127884478258
1	word	absent	word	0.335725455066175
1	word	absent	word	0.269630665489957
1	nonword	present	nonword	0.369781230127059
1	word	absent	word	0.227294941183766
1	word	present	word	0.206893057287188
1	nonword	present	nonword	0.238419428501792
1	word	absent	word	0.217611659931567
1	word	present	word	0.199306222900059
1	nonword	present	word	0.402984937828083
1	nonword	absent	word	0.223250425297378
1	nonword	absent	nonword	0.725051232834968
1	nonword	present	nonword	0.245481073788955
1	nonword	absent	nonword	0.374688494533026
1	nonword	present	nonword	0.285803318615826
1	nonword	present	nonword	0.416250856307553
1	nonword	present	word	0.194183328890354
1	word	absent	word	0.238140838382098
1	word	present	word	0.358091764520448
1	nonword	present	word	0.196408997779444
1	nonword	present	nonword	0.346976806026313
1	nonword	absent	nonword	0.28561857295814
1	nonword	absent	nonword	0.411095730096117
1	nonword	present	nonword	0.266613419189269
1	nonword	present	nonword	0.283355652077062
1	word	present	word	0.693692788390716
1	word	present	word	0.28451690381768
1	word	absent	word	0.244780971770884
1	nonword	absent	nonword	0.284876626134221
1	nonword	present	nonword	0.424937614800877
1	word	present	word	0.475745807710356
1	nonword	absent	nonword	0.528440387803802
1	nonword	present	nonword	0.212605344738157
1	nonword	absent	nonword	0.318047102856599
1	nonword	absent	word	0.38315947604609
1	word	present	word	0.228252036608148
1	nonword	present	nonword	0.258377978722494
1	word	absent	word	0.434229933115055
1	nonword	present	nonword	0.329717268753013
1	nonword	absent	nonword	0.423617918514286
1	nonword	absent	word	0.23957385871565
1	word	absent	word	0.25496092461219
1	nonword	present	nonword	0.509815864919389
1	nonword	present	nonword	0.383762830593822
1	nonword	absent	word	0.278348084561444
1	nonword	present	word	0.417056855809633
1	word	present	word	0.421869531338386
1	nonword	present	word	0.360968452349378
1	nonword	present	nonword	0.2920897099622
1	nonword	present	nonword	0.341030382537953
1	word	present	nonword	0.31429102767418
1	word	absent	word	0.415661457772616
1	nonword	absent	nonword	0.269844170546022
1	word	present	word	0.586957510334435
1	nonword	present	nonword	0.413091113527487
1	word	present	word	0.473861056910205
1	nonword	present	nonword	0.323296823517655
1	word	present	word	0.315825394263687
1	word	absent	word	0.18885300503208
1	word	present	word	0.223076888901675
1	word	absent	nonword	0.239547849463043
1	nonword	absent	nonword	0.345405751015204
1	nonword	present	nonword	0.269731725186142
1	nonword	present	nonword	0.33426563034629
1	word	present	word	0.336233901692357
1	nonword	present	nonword	0.307347290403401
1	word	absent	word	0.338887194377652
1	word	present	word	0.255832407895491
1	nonword	absent	nonword	0.354578106866647
1	word	present	word	0.220889777431759
1	word	present	word	0.234599453868908
1	word	present	word	0.428527703958449
1	nonword	absent	nonword	0.197840670918883
1	nonword	absent	nonword	0.35992858369827
1	nonword	present	nonword	0.307916543087293
1	word	present	word	0.213097883994571
1	nonword	present	nonword	0.38378224315585
1	word	absent	word	0.549429605352675
1	word	absent	word	0.182573901239614
1	nonword	present	nonword	0.525202868154437
1	nonword	present	nonword	0.242588950104941
1	word	absent	word	0.360222255532845
1	word	present	word	0.338268442198215
1	nonword	absent	nonword	0.34052583240654
1	word	present	word	0.667229302143835
1	word	absent	word	0.317173701048887
1	nonword	absent	nonword	0.249947728169529
1	word	absent	word	0.289294580593742
1	word	absent	word	0.310859238231105
1	word	present	word	0.241155684438322
1	nonword	present	nonword	0.283509536307105
1	word	present	word	0.555891828633364
1	nonword	present	nonword	0.604398317327355
1	word	present	word	0.389314320836409
1	word	absent	word	0.319625494756544
1	nonword	present	nonword	0.257393405099285
1	word	present	nonword	0.511896592882329
1	word	absent	word	0.281918927611057
1	nonword	absent	nonword	0.310572735627032
1	word	absent	word	0.232043006706079
1	nonword	absent	nonword	0.243605001851337
1	nonword	present	nonword	0.732348550403841
1	word	present	word	0.267107993178027
1	word	absent	word	0.242457390409651
1	word	absent	word	0.174003572501682
2	nonword	present	nonword	0.224073005829142
2	nonword	present	nonword	0.152354492178379
2	word	absent	word	0.313392472453382
2	nonword	present	nonword	0.219926895645374
2	nonword	absent	nonword	0.29175223607697
2	nonword	absent	nonword	0.331657640593713
2	nonword	present	nonword	0.108816972568313
2	nonword	absent	nonword	0.164788525207557
2	word	present	word	0.150736692206766
2	word	absent	nonword	0.258518823846708
2	word	absent	word	0.306431971208261
2	nonword	absent	nonword	0.262020497407134
2	nonword	absent	nonword	0.131104468333838
2	nonword	present	nonword	0.260654758110549
2	word	absent	word	0.328885426485376
2	nonword	present	nonword	0.450292422336968
2	word	absent	word	0.347768160728416
2	word	absent	nonword	0.198213487044717
2	word	absent	word	0.832862887073075
2	nonword	absent	nonword	0.18575219524506
2	nonword	absent	nonword	0.677981555629992
2	nonword	absent	nonword	0.18714063556121
2	word	present	word	0.18162053287996
2	word	absent	word	0.386697665264757
2	nonword	present	nonword	0.18069855371672
2	word	absent	word	0.474803545443138
2	word	present	word	0.284554605894959
2	nonword	present	nonword	0.17410847398252
2	word	absent	word	0.709095210785178
2	word	present	word	0.553163529092327
2	word	absent	word	0.233451094702975
2	nonword	present	nonword	0.236371173589302
2	word	absent	word	0.185151816108433
2	nonword	absent	nonword	0.199736993812028
2	nonword	absent	nonword	0.152406253394429
2	nonword	present	nonword	0.201461594953346
2	nonword	present	nonword	0.382835568316697
2	nonword	present	nonword	0.177280596243263
2	nonword	absent	nonword	0.241728194849204
2	nonword	absent	nonword	0.226872496857184
2	nonword	present	nonword	0.438610550408549
2	nonword	present	nonword	0.183670593563609
2	nonword	present	nonword	0.15473641052813
2	word	present	word	0.188509204031046
2	nonword	absent	nonword	0.238375160921194
2	nonword	absent	nonword	0.267955036625099
2	word	present	word	0.253376465607122
2	nonword	absent	nonword	0.272413566233471
2	word	absent	word	0.251194584873122
2	nonword	absent	nonword	0.157183944997612
2	word	present	word	0.13483628881684
2	nonword	absent	nonword	0.149121706216976
2	nonword	absent	nonword	0.306879298884038
2	nonword	absent	nonword	0.137852032616539
2	word	absent	word	0.638943227132008
2	nonword	absent	nonword	0.332664470435214
2	nonword	present	nonword	0.158951807695344
2	word	absent	word	0.198589322665316
2	word	absent	nonword	0.180961649035455
2	nonword	present	nonword	0.131502752192282
2	nonword	present	nonword	0.298550031954535
2	word	present	word	0.246820315845852
2	nonword	present	nonword	0.202023307551788
2	nonword	absent	nonword	0.208071830134993
2	word	present	word	0.164319655494739
2	nonword	present	nonword	0.27100284249634
2	nonword	absent	word	0.518956269627305
2	word	absent	nonword	0.353736789714347
2	nonword	present	nonword	0.228767141236307
2	nonword	absent	nonword	0.263106161451665
2	nonword	present	nonword	0.152187779452627
2	word	absent	word	0.477981662272381
2	nonword	absent	nonword	0.396846850790297
2	word	present	word	0.378133114898425
2	nonword	present	nonword	0.286429547663006
2	word	present	word	0.857633891960378
2	word	present	word	0.333621902171043
2	word	absent	word	0.190603164649278
2	word	present	word	0.230068144900764
2	nonword	absent	nonword	0.232073057251273
2	word	present	word	0.174227727839212
2	nonword	absent	nonword	0.410329756849541
2	nonword	present	nonword	0.138244566614723
2	nonword	present	nonword	0.256783293578073
2	word	absent	word	0.190173553363701
2	nonword	absent	nonword	0.134313451435547
2	nonword	present	nonword	0.291469185500691
2	word	present	word	0.47843480279764
2	word	present	word	0.162435141295793
2	word	present	word	0.218388139184175
2	nonword	present	nonword	0.881288016141226
2	nonword	absent	nonword	0.154823535255437
2	nonword	absent	nonword	0.230130025629091
2	word	present	word	0.274164365816232
2	nonword	absent	nonword	0.275724517376516
2	nonword	present	nonword	0.374211726720589
2	word	absent	nonword	0.219453602188179
2	word	absent	word	0.164029326485499
2	word	present	nonword	0.342139377856456
2	nonword	absent	nonword	0.490171570879448
2	word	absent	word	0.16972670695592
2	word	present	word	0.494906213552572
2	word	absent	nonword	0.148534286694613
2	word	absent	word	0.531099496202209
2	nonword	present	nonword	0.168577690421406
2	nonword	absent	nonword	0.419232099264544
2	word	absent	word	0.126679661988775
2	word	absent	word	0.642580752571665
2	word	present	word	0.192209064050162
2	nonword	present	nonword	0.192019498145612
2	nonword	absent	nonword	0.170393748829791
2	nonword	present	nonword	0.224707112077214
2	word	present	nonword	0.391464276681023
2	nonword	present	nonword	0.192485886079627
2	word	absent	word	0.252633413994563
2	nonword	absent	nonword	0.252622519509827
2	word	absent	word	0.670816928116541
2	nonword	absent	nonword	0.175370568392001
2	word	present	word	0.269477004867432
2	word	absent	word	0.208914055234817
2	nonword	absent	nonword	0.190068713547012
2	nonword	absent	nonword	0.28098115388793
2	word	absent	word	0.506189415079434
2	word	absent	word	0.151934620033132
2	word	absent	word	0.133908101876004
2	nonword	present	nonword	0.375753325009825
2	word	present	word	0.216218729100231
2	nonword	absent	nonword	0.400519396233553
2	word	present	word	0.514535770401394
2	word	present	word	0.840551747614989
2	nonword	present	nonword	0.324441286605907
2	nonword	absent	nonword	0.478296450896543
2	nonword	present	nonword	0.40390521712946
2	word	absent	word	0.178417896605134
2	nonword	absent	nonword	0.206989583531287
2	word	present	word	0.173807544652608
2	nonword	present	nonword	0.369048243565177
2	word	present	word	0.409167496219835
2	word	present	word	0.600336740253751
2	nonword	absent	nonword	0.176565617537259
2	word	present	word	0.408939114158775
2	word	present	word	0.432072193071753
2	nonword	present	nonword	0.835181489258901
2	nonword	present	nonword	0.253270151535637
2	word	absent	word	0.398554217797323
2	word	present	word	0.231907140775019
2	word	present	word	0.140413809732384
2	nonword	absent	word	0.446172393753743
2	nonword	absent	nonword	0.14478399388761
2	nonword	absent	nonword	0.209258469566638
2	nonword	absent	nonword	0.361753166135297
2	nonword	absent	nonword	0.127875515045482
2	nonword	present	nonword	0.169985606760415
2	nonword	absent	nonword	0.662543172458748
2	word	present	word	0.56801384251899
2	nonword	present	nonword	0.232734597902632
2	nonword	absent	nonword	0.398651001375342
2	nonword	absent	nonword	0.222484749419462
2	nonword	absent	nonword	0.116504751244778
2	word	present	word	0.106285076885283
2	word	absent	word	0.46096568590821
2	word	present	nonword	0.236460156541277
2	word	absent	word	0.326821602532352
2	nonword	absent	nonword	0.172759947756995
2	word	absent	word	0.182361373056843
2	nonword	present	nonword	0.291037209005204
2	nonword	absent	nonword	0.236910723242281
2	nonword	absent	nonword	0.446143704285125
2	nonword	absent	nonword	0.187339538075207
2	word	present	word	0.119586560977175
2	word	absent	nonword	0.191368176701221
2	nonword	present	nonword	0.345252193406914
2	word	present	word	0.142562025132964
2	nonword	present	nonword	0.933047593133894
2	nonword	absent	nonword	0.176732079352786
2	nonword	present	nonword	0.365171839922605
2	nonword	absent	word	0.183385734272263
2	nonword	absent	nonword	0.135699140318522
2	nonword	absent	word	0.440191290155768
2	word	present	word	0.13558789623809
2	word	present	nonword	0.165609498078946
2	word	present	word	0.303817201307263
2	word	absent	word	0.30125707805281
2	nonword	absent	nonword	0.221462584235418
2	word	absent	nonword	0.25786668272096
2	word	absent	word	0.171775690565649
2	nonword	present	nonword	0.524192131178359
2	word	absent	word	0.29800645151193
2	nonword	absent	nonword	0.301015746947366
2	nonword	present	nonword	0.178039108158621
2	nonword	present	nonword	0.177120202230218
2	nonword	present	nonword	0.333112609100147
2	nonword	present	nonword	0.183765757607577
2	word	present	word	0.180427866098689
2	nonword	absent	nonword	0.153156064928307
2	word	present	word	0.265671904763182
2	word	absent	word	0.350609369688264
2	word	present	word	0.234373919686603
2	word	absent	word	0.289107042878461
2	word	present	word	0.12143518615716
2	word	present	nonword	0.284280845835234
2	word	absent	word	0.271835845172872
2	nonword	present	word	0.624334566015901
2	nonword	absent	nonword	0.150226557144658
2	word	absent	word	0.170862901137783
2	word	absent	word	0.494600391431674
2	nonword	absent	nonword	0.228439973021974
2	nonword	present	nonword	0.176029728234435
2	word	present	word	0.512478933571649
2	nonword	absent	nonword	0.165180242209672
2	word	absent	word	0.236543985114296
2	nonword	absent	nonword	0.257851812457392
2	nonword	absent	word	0.175129968492008
2	nonword	absent	nonword	0.165985253573348
2	word	present	word	0.188303776563714
2	word	absent	word	0.23449870502425
2	word	present	word	0.174544560959623
2	nonword	absent	nonword	0.171153102025332
2	word	absent	word	0.18879167382656
2	word	absent	word	0.461680094161261
2	word	present	word	0.475766942808281
2	word	present	word	0.163206849366424
2	nonword	present	nonword	0.140146687207047
2	nonword	absent	nonword	0.351942687516774
2	nonword	present	nonword	0.363325123449705
2	word	present	word	0.173881482980962
2	nonword	present	nonword	0.368209336487874
2	word	present	word	0.546636974211405
2	word	absent	word	0.177277073399921
2	nonword	present	nonword	0.255263859051338
2	word	absent	nonword	0.351604129425466
2	word	present	word	0.235420991566575
2	nonword	absent	nonword	0.131757646132831
2	nonword	present	nonword	0.229940975781588
2	word	absent	word	0.634796142603235
2	nonword	present	nonword	0.142286933921582
2	word	present	word	0.173297580746523
2	word	present	word	0.150854748375555
2	nonword	absent	nonword	0.626975129053038
2	word	present	word	0.196243787429475
2	word	absent	word	0.254944404245706
2	nonword	absent	nonword	0.172440442077632
2	nonword	present	word	0.117648121897293
2	word	absent	word	0.491914927594984
2	word	absent	word	0.227370346927306
2	word	absent	word	0.218622699448122
2	word	absent	word	0.315688996164064
2	word	absent	word	0.536806542846857
2	nonword	present	nonword	0.363078237488941
2	word	absent	word	0.202424768943524
2	word	absent	word	0.553519753412903
2	word	present	word	0.226655614904953
2	nonword	present	nonword	0.310254136995144
2	word	present	word	0.32793309241375
2	word	absent	word	0.420813844040149
2	word	present	word	0.273114916475151
2	word	present	word	0.246476334406511
2	nonword	absent	nonword	0.278895118705899
2	nonword	absent	nonword	0.342067892343481
2	word	present	word	0.427324783418856
2	word	present	word	0.25436328735879
2	nonword	present	nonword	0.156178122150906
2	nonword	present	nonword	0.213805441927644
2	nonword	present	nonword	0.152396146619654
2	word	absent	word	0.376420180859366
2	word	present	word	0.21863412193596
2	nonword	absent	nonword	0.49169788754849
2	nonword	absent	nonword	0.208566498637588
2	word	present	word	0.495607084209388
2	nonword	present	nonword	0.236997267034098
2	word	present	nonword	0.141442848788576
2	nonword	present	nonword	0.178818095318686
2	nonword	absent	nonword	0.191383989478538
2	nonword	absent	nonword	0.334137807882308
2	nonword	absent	nonword	0.175229538946226
2	word	absent	nonword	0.130660614110981
2	word	absent	word	0.225420482182881
2	word	absent	nonword	0.167993516700667
2	word	absent	nonword	0.169952698648332
2	word	absent	word	0.246355770690804
2	nonword	absent	nonword	0.123689382656291
2	nonword	present	nonword	0.265557648020935
2	nonword	absent	nonword	0.192214779865441
2	word	absent	nonword	0.138959011775743
2	nonword	present	nonword	0.305468514857826
2	nonword	absent	nonword	0.371664474642009
2	nonword	present	nonword	0.423822244176451
2	word	present	word	0.388990721560497
2	word	present	word	0.174930444530153
2	nonword	present	nonword	0.243871583161526
2	nonword	present	nonword	0.16922031466753
2	word	absent	word	0.202736180838432
2	nonword	present	nonword	0.352476850131923
2	nonword	absent	nonword	0.262021917789199
